FECHA_CORTE;ANIO;COD_DPTO;NOM_DPTO;NOM_MUSEO;COD_MES;NOM_MES;COD_TIPO;NOM_TIPO;ADU_BOLESPPAGANTES;EST_BOLESPPAGANTES;NIN_BOLESPPAGANTES;MIL_BOLESPPAGANTES;ADM_BOLESPPAGANTES;ADU_PAGANTES;EST_PAGANTES;NIN_PAGANTES;TOTAL_PAGANTES;ADU_BOLESPNOPAGANTES;EST_BOLESPNOPAGANTES;NIN_BOLESPNOPAGANTES;MIL_BOLESPNOPAGANTES;ADM_BOLESPNOPAGANTES;ADU_NOPAGANTES;EST_NOPAGANTES;NIN_NOPAGANTES;TOTAL_NOPAGANTES;TOTAL;TIPO_cat_cod
20260831;2023;14;Lambayeque;Museo de Sitio Huaca Chotuna - Chornancap;07;Julio;0;Nacionales;0;0;0;0;0;154;181;793;1128;0;0;0;0;0;77;18;294;389;1517;Museo
20260831;2023;14;Lambayeque;Museo de Sitio Huaca Chotuna - Chornancap;07;Julio;1;Extranjeros;0;0;0;0;0;15;2;1;18;0;0;0;0;0;0;0;0;0;18;Museo
20260831;2023;14;Lambayeque;Museo de Sitio Huaca Chotuna - Chornancap;08;Agosto;0;Nacionales;0;0;0;0;0;82;34;128;244;0;0;0;0;2;46;26;56;130;374;Museo
20260831;2023;14;Lambayeque;Museo de Sitio Huaca Chotuna - Chornancap;08;Agosto;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Museo
20260831;2023;14;Lambayeque;Museo de Sitio Huaca Chotuna - Chornancap;09;Setiembre;0;Nacionales;0;0;0;0;0;88;46;161;295;0;0;0;0;8;183;82;532;805;1100;Museo
20260831;2023;14;Lambayeque;Museo de Sitio Huaca Chotuna - Chornancap;09;Setiembre;1;Extranjeros;0;0;0;0;0;2;3;0;5;0;0;0;0;0;0;0;0;0;5;Museo
20260831;2023;14;Lambayeque;Museo de Sitio Huaca Chotuna - Chornancap;10;Octubre;0;Nacionales;0;0;0;0;0;43;85;152;280;0;0;0;0;0;92;7;83;182;462;Museo
20260831;2023;14;Lambayeque;Museo de Sitio Huaca Chotuna - Chornancap;10;Octubre;1;Extranjeros;0;0;0;0;0;8;0;0;8;0;0;0;0;0;0;0;0;0;8;Museo
20260831;2023;14;Lambayeque;Museo de Sitio Huaca Chotuna - Chornancap;11;Noviembre;0;Nacionales;0;0;0;0;0;48;70;162;280;0;0;0;0;3;147;13;213;376;656;Museo
20260831;2023;14;Lambayeque;Museo de Sitio Huaca Chotuna - Chornancap;11;Noviembre;1;Extranjeros;0;0;0;0;0;6;2;0;8;0;0;0;0;0;0;0;0;0;8;Museo
